                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2803,                 2.8475,                 2.6569,                 1.5752,                0.34765,                0.35021,                0.29564,                0.19889,                0.34847,                0.34447,                0.29341,                0.17337,                 1.0325,                 1.9405,                 1.9137,                 1.3808,              0.0032883,              0.0032883,              0.0032883
                      2,                 1.0028,                 2.0644,                 1.7402,                 1.3238,                0.28713,                0.29586,                0.25293,                0.15897,                 0.2815,                0.29549,                0.24651,                0.14088,                 1.4096,                 2.7271,                 2.3869,                 1.6441,              0.0066151,              0.0066151,              0.0066151
                      3,                 1.0817,                 2.1709,                 1.6345,                 1.3522,                0.10493,                0.17698,                0.06361,                0.03581,                0.10264,                0.17343,                 0.0593,                 0.0291,                 1.7255,                 3.8188,                 3.2551,                 1.9522,              0.0099352,              0.0099352,              0.0099352
                      4,                 1.1484,                 2.1817,                 1.6669,                 1.3571,                0.29108,                0.16952,                0.17268,                0.10512,                0.28593,                0.16563,                0.16234,                0.08837,                 1.8432,                 3.9151,                  2.992,                 2.1183,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.1744,                  2.237,                 1.5774,                 1.3977,                0.31122,                0.17515,                0.15238,                0.09135,                0.30688,                0.17226,                0.14849,                0.07684,                 1.6713,                 3.6821,                 3.8304,                 1.9135,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.1376,                  2.153,                  1.512,                 1.3733,                 0.3122,                0.33125,                  0.282,                0.17157,                0.30912,                0.32808,                0.27736,                0.14542,                 1.3968,                 2.8354,                 2.2261,                 1.6811,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1148,                 2.1407,                 1.4875,                 1.3647,                0.36115,                0.32164,                0.30124,                0.18495,                0.35891,                 0.3192,                0.29076,                0.15756,                  1.492,                 2.9847,                 1.9589,                  1.695,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.1207,                 2.1038,                 1.4512,                 1.3613,                0.34612,                0.37601,                 0.3545,                 0.2189,                0.34733,                0.37603,                0.35515,                0.20438,                 1.2271,                 2.3771,                 2.5156,                 1.4944,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.0867,                 2.0638,                 1.4029,                 1.3247,                0.33128,                0.25899,                0.22247,                0.13778,                 0.3256,                 0.2367,                 0.2183,                 0.1167,                 1.4915,                 3.1283,                 2.5401,                 1.7482,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0494,                 1.9966,                  1.348,                 1.2964,                 0.4027,                0.37662,                0.38518,                0.23584,                0.40377,                0.37716,                0.38422,                0.22233,                 1.2483,                 2.3584,                  1.683,                 1.4903,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.0564,                 1.9874,                  1.347,                 1.3086,                0.36791,                0.32818,                0.30545,                0.19752,                0.38621,                 0.3194,                0.30441,                0.17526,                 1.2101,                 2.2593,                 1.8782,                 1.4681,               0.009901,               0.009901,               0.009901
                     12,                  1.033,                 1.9573,                 1.2994,                 1.3027,                0.39217,                0.36969,                0.33201,                0.20573,                0.34862,                 0.3422,                0.32444,                0.17802,                 1.2275,                 2.3575,                 1.6881,                 1.4885,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.0254,                 1.9085,                 1.3026,                 1.3019,                0.37492,                0.41609,                0.34059,                 0.2186,                0.37046,                0.40687,                0.34423,                 0.2026,                 1.1166,                 2.1486,                 2.0695,                 1.3969,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.0097,                 1.8944,                 1.2602,                 1.2854,                0.43028,                0.40305,                0.41818,                0.27284,                  0.436,                0.40337,                0.42028,                0.24835,                 1.0784,                 1.9198,                 1.3461,                  1.379,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.0095,                 1.8934,                 1.2636,                 1.2847,                0.37182,                0.31474,                0.29978,                0.19749,                0.36587,                0.30824,                0.29421,                0.17282,                 1.2846,                 2.4712,                 2.0749,                 1.5608,              0.0098614,              0.0098614,              0.0098614
                     16,                0.98841,                 1.8565,                 1.2356,                  1.268,                0.39723,                0.43094,                0.39347,                 0.2561,                 0.3955,                0.42895,                0.39359,                0.23616,                  1.114,                 1.9982,                 1.4844,                 1.3894,              0.0098515,              0.0098515,              0.0098515
                     17,                0.97162,                 1.8197,                 1.1885,                 1.2532,                0.38725,                0.38467,                 0.3946,                0.25843,                0.39832,                0.37801,                0.39302,                0.23022,                 1.0615,                 1.8937,                 1.3975,                 1.3615,              0.0098416,              0.0098416,              0.0098416
                     18,                0.96822,                 1.8194,                 1.1918,                 1.2647,                0.45872,                0.35465,                0.34209,                0.21811,                0.45701,                 0.3545,                0.33727,                0.19344,                 1.1646,                 2.2028,                  1.617,                 1.4409,              0.0098317,              0.0098317,              0.0098317
